List,Rank,Item,Impact,Effort
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",29,Newsletter signup component embedded on every key page (not just homepage + /newsletter),Med-high,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",30,City-scoped FAQ blocks + FAQPage schema on launched city pages,Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",31,"/guides evergreen hub (how to play NMJL, start a group, buy a set, the spring card)",Med,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",32,Breadcrumb + BreadcrumbList schema on every state/city/entity page (fix position-2 off /#map to /states),Med,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",33,Convert state hubs into real city indexes (links down to Tier-A cities + top venues/teachers/events),Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",34,Related-cities mesh (nearest by lat/lng) on every city page,Low-med,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",35,Shauna's flagship /teachers/shauna-bruckman page with deliberate lasvegasmahj cross-links,Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",36,Standalone LocalBusiness venue entity pages (/states/[state]/[city]/[venue-slug]) for real venue rows only,Med,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",37,Route the homepage search box to real /states/[state]/[city] URLs (CITY_TO_SLUG already half-built),Med,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",38,K-factor instrumentation (invites sent per host x invite-to-join rate),Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",39,Heat-map-driven 'place the next ambassador here' admin view (demand with no tables),Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",40,Cross-brand 'open play / drop-in this week near me' aggregated view across clubs/teachers/venues,Med,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",41,'View My Games' no-account return path keyed to phone number,Med,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",42,Dallas stranger-matching pilot controls: founder-approval toggle + 3-tables/day cap in /admin,Med,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",43,Verification-status surfacing in newsletter-fed listings (carry the badge into the issue),Low-med,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",44,Tournaments + retreats dedicated section (filtered events hub with Event schema),Med,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",45,"Tier-B noindex,follow city pages for the next ~500 cities, auto-promoting on first listing",Low-med,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",46,Add-to-calendar + the coordination email polish for confirmed recurring games,Low-med,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",47,Mahjong news/updates section fed from the newsletter (low urgency),Low,Low-med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",48,Bing Webmaster + GSC baseline dashboards wired into /admin,Low-med,Low
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",49,Teacher self-serve onboarding flow (teachers add their own classes) once the directory is real,Low-med,Med
"Top 50 Things To Build for FMG (ranked; deduped against shipped: Bench/matcher, claims, freshness stamps, recurring columns, email choke point, newsletter signup, attribution, heat map, admin/today, CRM, security gate)",50,Ambassador stats dashboard (their city's tables/inventory) once attribution is validated,Low,Med
Top 25 SEO Wins,1,Fix the live factual error in how-it-works HowTo schema: it tells Google to 'enter your zip code and select 5/10/25/50 miles' (lib/schema.ts:418-419) but that c,high,low
Top 25 SEO Wins,2,Replace the static sitemap.ts (currently just ALL_STATE_SLUGS + 16 hardcoded routes) with a data-driven sitemap that queries Supabase for published players/even,high,medium
Top 25 SEO Wins,3,"Add app/robots.ts (Next metadata route) to replace the static public/robots.txt so it is generated and testable, keeping the Disallow rules for /admin, /api, /s",medium,low
Top 25 SEO Wins,4,Render FAQPage JSON-LD on /faq. The page has a full FAQ_ITEMS array but ships NO FAQPage schema (only metadata). Add a buildFaqPageSchema(FAQ_ITEMS) builder in ,high,low
Top 25 SEO Wins,5,"Add per-state FAQPage schema + a visible FAQ block to /states/[state] answering 'Where can I play mahjong in {state}?', 'Are there mahjong lessons in {state}?',",high,medium
Top 25 SEO Wins,6,Fix the homepage WebSite SearchAction urlTemplate (lib/schema.ts:79) which points to /states/{search_term_string}. A real search term like 'houston' resolves to,medium,medium
Top 25 SEO Wins,7,Make state-page city names crawlable internal links instead of dropdown-only options. Render stateData.cities as <Link> chips (anchor-filtered or to future city,high,medium
Top 25 SEO Wins,8,"Ship indexable city routes /states/[state]/[city] for Tier A only (cities with >=1 published listing, auto-gated isIndexable = listings>0 || curatedIntro), with",high,high
Top 25 SEO Wins,9,"Add a noindex,follow robots gate to /states/[state] pages that have zero published players, events, AND venues, auto-flipping to index the moment any real listi",high,medium
Top 25 SEO Wins,10,"Fix the state-page breadcrumb: visible breadcrumb position 2 points to /#map (client.tsx:193), a fragment, which is a weak crawl target. Point it at /states. Th",medium,low
Top 25 SEO Wins,11,"Promote /teachers and /venues from robots:{index:false} to indexable hub pages with their own intro copy, internal links, and CollectionPage + ItemList schema. ",high,medium
Top 25 SEO Wins,12,"Build a flagship teacher entity page /teachers/shauna-bruckman (Person + Service/Course schema, areaServed, virtual + Las Vegas) as the template for instructor ",high,medium
Top 25 SEO Wins,13,Add unique generateMetadata titles/descriptions for the ~45 states still using the generic fallback (page.tsx:58-67 token-swaps 'Search {4 cities} and more'). H,medium,medium
Top 25 SEO Wins,14,"Add an Event entity route /events/[event-slug] (or at minimum stable anchor URLs) with per-event Event schema including offers/organizer, and canonicalize or tr",medium,high
Top 25 SEO Wins,15,"Add a /tournaments national hub (filtered events) targeting 'mahjong tournaments near me' and the spring NMJL-card seasonal spike, cross-linked from /events and",medium,medium
Top 25 SEO Wins,16,"Stand up a /guides evergreen hub (how to play NMJL, how to start a group, buying a set, beginner FAQ, the spring card) with Article/HowTo schema, internally lin",high,high
Top 25 SEO Wins,17,"Add BreadcrumbList schema + visible breadcrumbs to the hub pages /events, /teachers, /venues, /states (only /states/[state] and the about/contact/list pages cur",medium,low
Top 25 SEO Wins,18,"Add OpenGraph/Twitter metadata and canonical to /events, /teachers, /venues (they have title/description but events/teachers/venues lack canonical and OG beyond",low,low
Top 25 SEO Wins,19,Add LocalBusiness standalone schema for venue entity pages /states/[state]/[city]/[venue-slug] as venue inventory grows (the nested LocalBusiness in schema.ts:1,medium,high
Top 25 SEO Wins,20,"Enrich states-data.ts (or a new Supabase cities table) with population/metro/county/coords for the top ~150 metros so city pages and state FAQ blocks have true,",medium,high
Top 25 SEO Wins,21,"Add a related-cities / nearby-metros internal-link block to state (and future city) pages using real geography, so Tier-B pages stay crawl-reachable and can gra",medium,medium
Top 25 SEO Wins,22,"Set an explicit canonical and noindex,follow on /home-v2 (it has robots noindex, good) AND confirm it is excluded from the sitemap (it is). Also confirm the dup",low,low
Top 25 SEO Wins,23,"Add a deliberate, editorial reciprocal cross-link between findmymahjgame.com (Nevada/teacher pages, About Org sameAs already done) and lasvegasmahj.com, kept co",medium,low
Top 25 SEO Wins,24,"Stand up Google Search Console + Bing Webmaster, submit the new data-driven sitemap, and baseline current state-page impressions before launch so the city/teach",high,low
Top 25 SEO Wins,25,Add the missing /play route note to sitemap is present; instead add image alt-text + descriptive H1 audit across hubs and ensure each indexable page has exactly,low,low
Top 25 UX Wins,1,Promote search to the hero. The homepage leads with three big buttons (I Want to Play / Start a Table / I Need Help) and buries the city SearchBox below the map,high,medium
Top 25 UX Wins,2,Add type-ahead autocomplete to the homepage SearchBox. It currently does exact-or-startsWith matching against seed cities only (search-box.tsx:20-23) and silent,high,medium
Top 25 UX Wins,3,Make the SearchBox zero-result convert instead of bounce. 'No match found. Browse all 50 states' (search-box.tsx:68-70) throws the user at 50 dead ends. Route a,high,low
Top 25 UX Wins,4,Unify the two different search experiences. Homepage SearchBox (routes to /states/[slug]) and /play (town -> /api/tables/find) behave differently and can disagr,medium,medium
Top 25 UX Wins,5,"Mobile-fix the homepage US map. globals.css has no mobile treatment for .us-map-container, and the map tooltip is hover/mouse-driven (us-map.tsx onMouseMove/onM",high,medium
Top 25 UX Wins,6,"Reduce the list-my-game form from 6 required fields to email + city + name first, with skill level and availability optional. skill_level is currently required ",high,medium
Top 25 UX Wins,7,Make the list-my-game City field a typeahead bound to the same city list the state pages filter on (exact lowercased match at client.tsx:174-176). Free-text 'Bo,high,medium
Top 25 UX Wins,8,"Drop the raw stat row on state pages when counts are real but tiny, and never imply seed coverage. The hero shows Players/Events/Venues counts only when >0 (cli",medium,low
Top 25 UX Wins,9,"Add a 'Use my location' button to the homepage and state pages, reusing the working geolocation in /play (play-client.tsx:53-79). One tap to the right place bea",high,medium
Top 25 UX Wins,10,"Replace the external reverse-geocode dependency in /play (api.bigdatacloud.net, play-client.tsx:64) with a bundled lat/long-to-state table (STATE_CENTERS alread",medium,medium
Top 25 UX Wins,11,Add expectation-setting + timing to the Connect modal. The success copy 'We'll pass your message along and you'll hear back via email' (client.tsx:463) is a bla,medium,low
Top 25 UX Wins,12,Fix the inline 1fr 1fr grids that don't collapse on mobile: the list-my-game City+State row (list-my-game-client.tsx:157) and any remaining hardcoded two-column,medium,low
Top 25 UX Wins,13,Add a sticky/visible 'I Want to Play' and 'Start a Table' entry on the header nav. The header (header.tsx) only links Events/Teachers/Browse States/Help/Newslet,high,low
Top 25 UX Wins,14,Add a clear 'View My Table / My Games' return path by phone or share link so a host or player can get back to their table without an account (referenced as a wa,medium,medium
Top 25 UX Wins,15,Improve the Tables-forming homepage section: it only renders when forming tables exist (page.tsx:107) and N+1 queries seat counts per table (page.tsx:71-74). Ba,medium,medium
Top 25 UX Wins,16,"Add a visible 'safe, public-place, money-never-crosses-the-table' trust band near the top of /play results, not only on /start and /t. The results step has good",medium,low
Top 25 UX Wins,17,"Give the state-page empty states a 'notify me when a game opens near me' email/phone capture (the three empty blocks at client.tsx:285, 360, 421 currently dead-",high,medium
Top 25 UX Wins,18,"Add inline validation and clearer required-field hints to list-my-game (the /start form already shows a helpful 'To finish: pick a day, add your name...' hint a",low,low
Top 25 UX Wins,19,Make the /play 'Find a Game' results scannable: show a clear count ('3 games near {city}') and sort the most-joinable non-nearly-full tables first while respect,medium,low
Top 25 UX Wins,20,Add an 'Add to Calendar' and reminder affordance for players (not just the host). /t/[code] shows AddToCalendar only in the host 'created' banner (t/[code]/page,medium,medium
Top 25 UX Wins,21,"Hide or repurpose empty hub states that read as 'dead site'. /teachers and /events show good multi-CTA empty states, but ensure the homepage never shows the Ret",low,low
Top 25 UX Wins,22,Add visible focus states and larger tap targets across interactive elements for the 45-70 audience (the product already uses 54-72px min-heights on /play and /s,medium,low
Top 25 UX Wins,23,"Clarify the cruise/travel cards. 'Find Cruise Passengers' links to /list-my-game (page.tsx:217), which is the player-listing form, not a cruise-specific flow, s",low,low
Top 25 UX Wins,24,Add a share prompt on form success screens ('Invite your mahjong friends to list too' with a prefilled link). list-my-game success (list-my-game-client.tsx:79-1,medium,low
Top 25 UX Wins,25,"Tighten the state-page city dropdown: it lists ALL seed cities even when none have listings, so selecting a city yields an empty filtered view with no explanati",low,low
Top 25 Conversion Wins,1,Capture intent on every zero-result and empty state via the existing /api/want-to-play endpoint. The homepage SearchBox no-match (search-box.tsx:68) and the thr,high,medium
Top 25 Conversion Wins,2,"Add the 'Need a 4th' urgency push: when a table sits at 3 of 4, the /t/[code] page already shows 'Need a 4th! 1 seat left' (t/[code]/page.tsx:83), but there is ",high,medium
Top 25 Conversion Wins,3,"Add SMS confirmations and the 4th-seat alert (Twilio). The audience acts on texts, not email; /play and /start already collect phone numbers (play-client.tsx:17",high,high
Top 25 Conversion Wins,4,"Add one-tap 'Make this our weekly game' on /t/[code] after a table fills, turning one formed table into a recurring series. No recurring mechanism exists today;",high,high
Top 25 Conversion Wins,5,Add a 'mark we played / confirm active' loop so freshness data exists. The events hub already renders a 'Confirmed active {month}' badge from confirmed_active_a,high,medium
Top 25 Conversion Wins,6,"Capture the searcher's email/phone into a growth list at the Connect modal, not just the inquiries table. Today the connect form writes to inquiries (client.tsx",high,low
Top 25 Conversion Wins,7,Pre-fill the listing and table forms by city/state from the page the user came from. /start does not read a city param and /list-my-game ignores any context; li,medium,low
Top 25 Conversion Wins,8,"Reorder the /start form to capture host contact (name + phone/email) earlier or autosave a partial lead, so an abandoned table-start still yields a reachable ho",medium,medium
Top 25 Conversion Wins,9,Add a re-share nudge immediately after table creation. /t/[code]?created=1 shows the share sheet (t/[code]/page.tsx:133) but does not prompt a second share if s,high,medium
Top 25 Conversion Wins,10,Add the spring-NMJL-card email capture band to the homepage and empty states. The card releases each spring (never name a month) and is the highest-intent annua,high,low
Top 25 Conversion Wins,11,"Instrument the table-forming funnel: invites sent per host, invite-to-join rate, time-to-fill, and 4th-fill rate within 14 days. The /admin/heatmap and metrics ",medium,medium
Top 25 Conversion Wins,12,"Add a sub-backfill flow ('need a sub this week, one tap') for recurring tables, the stickiest defensible utility. Nothing supports subbing today. This is the re",high,high
Top 25 Conversion Wins,13,Add a weekly 'your game is in 2 days' reminder tied to a table's fixed slot once recurring exists. Pairs with the calendar add to create the habit cue that driv,medium,medium
Top 25 Conversion Wins,14,"Lead the get-listed/advertise empty states and forms with 'free to get started / founding member' framing, not pricing. The how-it-works schema and advertise pa",medium,low
Top 25 Conversion Wins,15,"Add a teacher/ambassador fast-path CTA on /teachers and /events empty states that routes to /ambassadors with their context, since teachers arrive with 8-40 stu",high,low
Top 25 Conversion Wins,16,"Add referral attribution beyond the start flow. /start already captures ?ref= ambassador codes into referred_by (start-client.tsx:36-41), but /play, /list-my-ga",medium,medium
Top 25 Conversion Wins,17,"Add social proof to /start and /play: 'X tables forming this week' or 'X players found a game' (honest, real counts only). The forming-tables data already exist",medium,low
Top 25 Conversion Wins,18,"Reduce /play capture-form friction: name + one contact (phone OR email) is already enough (play-client.tsx:164), which is good; make day/time chips clearly opti",medium,low
Top 25 Conversion Wins,19,Add an exit/abandon recovery on the multi-step /play and /start flows (e.g. persist entered town + contact to localStorage and offer to resume). A mistapped Bac,medium,medium
Top 25 Conversion Wins,20,"Make the /t/[code] full-table state convert the would-be joiner. When a table is full it shows 'Find another game near you' to /play (t/[code]/page.tsx:108), go",medium,low
Top 25 Conversion Wins,21,"Add a clear 'It's free, money never crosses the table' reassurance at the submit button on every supply form (it's in body copy on /start:71 and /teachers:59 bu",low,low
Top 25 Conversion Wins,22,Batch and speed up the homepage forming-tables query (N+1 seat count at page.tsx:71-74 runs a separate count per table). A single grouped count query lowers TTF,medium,low
Top 25 Conversion Wins,23,"Add a post-Connect / post-join follow-up email that nudges the user to also list themselves or start a table, closing the loop from demand-side action to supply",medium,medium
Top 25 Conversion Wins,24,"Add 'recently active' or 'X joined this week' honest freshness signals to the player cards and forming-table cards so the directory feels alive, never fabricati",low,medium
Top 25 Conversion Wins,25,"A/B the homepage primary CTA order (I Want to Play vs Start a Table). Demand (want to play) likely outnumbers supply (hosts), so leading with 'I Want to Play' a",low,low
Top 25 Community Wins,1,"Email the Las Vegas Mahjong list to seat 5 named recurring tables (dates, places, times) this month",high,low
Top 25 Community Wins,2,Personally call warm Oh My Mahjong teachers/studio owners to list their classes and open plays free,high,low
Top 25 Community Wins,2.5,Wire and send Newsletter Issue 1 to the 195 (LV list) as the weekly habit loop,high,low
Top 25 Community Wins,3,"Bulk-approve the 552 staged listings (273 open plays, 279 teachers/orgs) AFTER deploy to make the directory instantly look authoritative",high,low
Top 25 Community Wins,4,Founder concierge-seats the first 2 Las Vegas tables in person and captures photos + testimonials,high,medium
Top 25 Community Wins,5,Recruit and activate the first 3-5 Las Vegas ambassadors from existing relationships,high,medium
Top 25 Community Wins,6,"Make the immediate, explicit Run It Back ask after every first game to convert filled tables to recurring",high,low
Top 25 Community Wins,7,Aggregate every public American Mahjong event/tournament/retreat/cruise into inventory (target 100+),high,medium
Top 25 Community Wins,8,"Lock one public venue per proof city (library, community center, senior center)",high,medium
Top 25 Community Wins,9,Capture Dallas Welcome Week as the DFW liquidity-proof event (recommended week of July 13),high,medium
Top 25 Community Wins,10,Publish the Teacher Promise on /teachers ('money never crosses the table'),medium,low
Top 25 Community Wins,11,Stand up the activity-first 'find anything mahjong near you' front door over the new inventory,medium,medium
Top 25 Community Wins,12,Add one-field 'submit your event' and 'submit your venue' intake so the niche feeds you inventory,medium,low
Top 25 Community Wins,13,Activate the referral ask with every seated player and ambassador using existing attribution,medium,low
Top 25 Community Wins,14,Build the dedicated tournaments + retreats section as a near-complete national calendar,medium,medium
Top 25 Community Wins,15,Send Founding Teacher invites to the Dallas Mentors group first (deter-then-partner on OMM),medium,low
Top 25 Community Wins,16,Build the single strong Las Vegas city page that showcases real density,medium,medium
Top 25 Community Wins,17,Rotate one featured teacher/venue into each newsletter issue,medium,low
Top 25 Community Wins,18,"Add a newsletter signup prompt to every key page (events, teachers, states, help)",medium,low
Top 25 Community Wins,19,Build the Las Vegas mahjong-friendly venue list (10-20 named venues with hours/contacts),medium,medium
Top 25 Community Wins,20,"Capture 'find players near me' demand signal for empty cities, feeding the heat map",medium,low
Top 25 Community Wins,21,"Collect and publish 5+ real testimonials/photos from the first tables (honest, not seed)",medium,low
Top 25 Community Wins,22,Run the LV community-only carve-out: relabel the Nevada sponsored box 'From our founder',low,low
Top 25 Community Wins,23,Seed one recurring open play in a second city through an eager ambassador,medium,high
Top 25 Community Wins,24,Write 3 'American Mahjong near me' city SEO pages tied to real inventory,medium,medium
Top 25 Community Wins,25,Add a light 'mahjong news and updates' section fed from the newsletter,low,low
Top 25 Founder Time Savings,1,"Use /admin/today as the single daily cockpit (one screen of everything waiting: listings, inquiries, ambassadors, edits, match drafts)",high,low
Top 25 Founder Time Savings,2,Load the Week-1 launch checklist into /admin/tasks with one tap (Load launch checklist button),high,low
Top 25 Founder Time Savings,3,Run the founder daily off the Today's Focus strip in /admin/tasks (auto-surfaces high-priority + overdue + un-snoozed),high,low
Top 25 Founder Time Savings,4,"Work outreach from /admin/relationships CRM with wave, status, and next-touch tracking instead of memory or spreadsheets",high,low
Top 25 Founder Time Savings,5,Import the researched contacts in one command (scripts/import-crm.mjs) after the CRM migration,high,low
Top 25 Founder Time Savings,6,Approve table matches in one click from /admin/today (or the match-draft email) instead of coordinating by hand,high,low
Top 25 Founder Time Savings,7,"Let the daily cron matcher pool and cluster Dallas play requests automatically (ships dark, founder-gated)",high,low
Top 25 Founder Time Savings,8,"Let the ask-played cron collect game-played confirmations automatically (daily, one-click Yes/No to players)",high,low
Top 25 Founder Time Savings,9,Generate claim + freshness links from the admin row (claim-link API) to paste straight into outreach,high,low
Top 25 Founder Time Savings,10,Bulk-approve all pending listings with the one button in /admin (dead links already quarantined as flagged),high,low
Top 25 Founder Time Savings,11,Run scripts/check-links.mjs before any bulk publish so dead advertiser/teacher links are auto-flagged out,medium,low
Top 25 Founder Time Savings,12,Approve claimed-listing edits from /admin/edits in one place instead of email threads,medium,low
Top 25 Founder Time Savings,13,Snooze and 'waiting on' states in /admin/tasks to park blocked items without losing them,medium,low
Top 25 Founder Time Savings,14,Import staged inventory via scripts/import-inventory.mjs and import-open-plays.mjs in one run each,medium,low
Top 25 Founder Time Savings,15,Read North Star (Created/Filled/Played/Recurring) off /admin/metrics instead of computing it,medium,low
Top 25 Founder Time Savings,16,Use /admin/heatmap to place the next ambassador where demand exists but tables don't,medium,low
Top 25 Founder Time Savings,17,Filter the CRM by NV guardrail flag so Nevada teachers are never accidentally published as competitors,medium,low
Top 25 Founder Time Savings,18,Add tasks straight from the relationship context (related_name field) so follow-ups link to the person,medium,low
Top 25 Founder Time Savings,19,Let pending counts on /admin/today drive the approve queue priority (pink-bordered cards = action needed),low,low
Top 25 Founder Time Savings,20,"Use the CRM search (name/business/city, debounced) to pull a contact mid-call without scrolling",low,low
Top 25 Founder Time Savings,21,"Keep a running newsletter draft and drop the best find in daily, so send-day writes itself",medium,low
Top 25 Founder Time Savings,22,"Batch the founder day into the wartime blocks (triage, inventory, relationships, LV+newsletter)",medium,low
Top 25 Founder Time Savings,23,Reuse the standing 'list your event with us' pitch for every organizer instead of writing each ask,medium,low
Top 25 Founder Time Savings,24,"Defer all non-load-bearing builds (event-calendar software, sub_requests, ambassador profiles/dashboard) per RULINGS",medium,low
Top 25 Founder Time Savings,25,Write the kill rule into the weekly review so founder time stops leaking into dormant ambassadors and stalled cities,medium,low
Top 25 Launch Risks,1,"Founder dependence: if Shauna seeds every table, the playbook is unproven (only the founder is)",high,medium
Top 25 Launch Risks,2,Thin national directory: breadth without truth signals you are not the authority and kills trust,high,medium
Top 25 Launch Risks,3,Unknown real Las Vegas player pool: targets assume the founder can personally activate a meaningful number,high,low
Top 25 Launch Risks,4,Bulk-approve ordering: approving inventory BEFORE the deploy/SQL paste could expose contact data,high,low
Top 25 Launch Risks,5,"Outstanding founder decisions gate the entire launch (the deploy go, LV disclosure, Teacher Promise)",high,low
Top 25 Launch Risks,6,Kristel vs Crystal/True Mahjong unresolved fact: no San Antonio outreach allowed before the answer,high,low
Top 25 Launch Risks,7,Mailchimp not wired: newsletter and the 195-subscriber import are blocked until keys are in Vercel,high,low
Top 25 Launch Risks,8,Outstanding SQL delta: ambassadors.referral_code block not yet pasted,medium,low
Top 25 Launch Risks,9,Snowbird seasonality: Phoenix/Boca/Scottsdale are in summer off-season; holding them to LV targets reads as failure,medium,low
Top 25 Launch Risks,10,Warm-relationship count may be smaller than the plan assumes (~25 contacts across ~25 cities),high,low
Top 25 Launch Risks,11,Funded competitor aggregates the Oh My Mahjong network / public event calendar before FMG does,high,medium
Top 25 Launch Risks,12,Stale listings: a directory full of dead/past events destroys the source-of-truth claim fastest,medium,low
Top 25 Launch Risks,13,Data-honesty violation: presenting seed data (states-data.ts) as real players or counts,high,low
Top 25 Launch Risks,14,Dead or hallucinated links in published listings or advertiser submissions,medium,low
Top 25 Launch Risks,15,Stranger-matching safety: pooling cannot launch without host-approval-before-join,high,medium
Top 25 Launch Risks,16,PII exposure regression on a future deploy (state pages once serialized contact fields into client HTML),high,low
Top 25 Launch Risks,17,"Push-to-main with no review gate: Vercel auto-deploys, so a bad push goes straight live",high,low
Top 25 Launch Risks,18,Matcher/ask-played crons depend on CRON_SECRET and the matching migration being applied,medium,low
Top 25 Launch Risks,19,Rewarding 'tables formed' (a gameable metric) instead of filled/played/recurring,medium,low
Top 25 Launch Risks,20,No-show on the weekly newsletter cadence: skipping weeks breaks the habit that is the moat,medium,low
Top 25 Launch Risks,21,"Promising ambassador benefits that aren't live yet (featured profiles, teacher directory pages)",medium,low
Top 25 Launch Risks,22,"Dallas Test failure path is under-rehearsed (5 criteria, all must pass, review Sept 9)",medium,low
Top 25 Launch Risks,23,Launch grants/cash-for-signup attract perk-seekers and admin overhead that doesn't scale,medium,low
Top 25 Launch Risks,24,"Mahjong-fact errors in published content (152 tiles, Dragons, flowers, card-release timing)",medium,low
Top 25 Launch Risks,25,No rollback discipline on deploy: prior production deployment ID must be recorded before going live,medium,low
